的 de5  ⿰白勺 0
神 shen2 𬬹什 ⿰礻申 389
组 zu3 珇阻祖诅俎 ⿰纟且 390
织 zhi1 芝知𦭜汁稙泜枝栀祗支 ⿰纟只 391
乐 le4 泐叻簕勒仂鳓 ⿻⿱丿𠃋小 392
力 li4 凓呖𬍛丽俪栎戾浰厉傈 ⿻𠃌丿 393
知 zhi1 祗之支栀枝吱泜芝脂胝 ⿰矢口 394
相 xiang1 葙瓖缃襄厢乡箱骧𬙋湘 ⿰木目 395
注 zhu4 柷蛀贮苎杼炷箸住驻砫 ⿰氵主 396
意 yi4 裛挹埸悒薏怿翼逸嫕乂 ⿱音心 397
卡 ka3 胩 ⿱上卜 398
似 si4 兕耜泗姒巳饲寺驷四嗣 ⿰亻以 399
乎 hu1 呼唿烀忽轷淴惚滹昒 ⿻𠂌丷 400
除 chu2 雏躇蹰厨蜍滁橱刍锄 ⿰阝余 401
性 xing4 姓荇杏婞幸悻 ⿰忄生 402
份 fen4 奋忿坋瀵偾粪愤鲼 ⿰亻分 403
钟 zhong1 忠螽终盅锺柊衷中舯 ⿰钅中 404
卖 mai4 迈鿏唛麦劢脉 ⿱十买 405
未 wei4 硙卫魏螱畏煟慰胃尉蔚 ⿻一木 406
答 da2 鞑怛炟妲鿎溚荙沓笪达 ⿱𥫗合 407
联 lian2 帘蠊连廉鲢奁镰濂裢莲 ⿰耳关 408
页 ye4 夜谒晔液业靥馌烨叶邺 ⿱丆贝 409
明 ming2 暝溟冥鸣螟铭洺瞑名茗 ⿰日月 410
白 bai2  ⿱丿日 411
指 zhi3 止酯旨沚趾轵咫枳芷徵 ⿰扌旨 412
按 an4 胺黯岸暗犴案 ⿰扌安 413
否 fou3 缶 ⿱不口 414
达 da2 怛溚笪沓炟𫟼答荙妲鞑 ⿺辶大 415
跑 pao3  ⿰𧾷包 416
即 ji2 鹡殛伋集嵴疾蒺急堲笈 ⿰⿲𠄌𫜹丶卩 417
极 ji2 棘耤鹡急辑藉㴔佶堲嵴 ⿰木及 418
黑 hei1 𬭶嘿 ⿱⿻土⿻丷口灬 419
产 chan3 蒇啴谄浐阐冁旵骣𬊤铲 ⿳亠丷厂 420
品 pin3  ⿱口吅 421
程 cheng2 丞承澄乘惩裎铖橙珵诚 ⿰禾呈 422
座 zuo4 坐祚酢唑怍作胙做阼岞 ⿸广坐 423
处 chu4 憷琡绌触黜搐矗斶畜怵 ⿺夂卜 424
错 cuo4 莝厝挫棤锉措 ⿰钅昔 425
近 jin4 妗禁琎进祲浕瑨烬噤尽 ⿺辶斤 426
怕 pa4 帕 ⿰忄白 427
支 zhi1 祗汁吱枝胝芝之卮稙知 ⿱十又 428
持 chi2 池墀茌漦迟篪匙驰踟弛 ⿰扌寺 429
搞 gao3 镐稿杲缟槁藁 ⿰扌高 430
克 ke4 缂恪氪刻课溘锞客骒 ⿱古儿 431
政 zheng4 证正郑诤怔挣症 ⿰正攵 432
府 fu3 脯辅抚釜腐簠俯㕮甫黼 ⿸广付 433
版 ban3 板阪钣坂昄 ⿰片反 434
