巛,  
阶 7 ⿰阝介
阴 7 ⿰阝月
防 7 ⿰阝方
寿 7 ⿸⿻三丿寸
弄 7 ⿱王廾
麦 7 ⿱龶夂
玖 7 ⿰𤣩久
玛 7 ⿰𤣩马
形 7 ⿰开彡
进 7 ⿺辶井
戒 7 ⿹戈廾
吞 7 ⿱天口
远 7 ⿺辶元
违 7 ⿺辶韦
韧 7 ⿰韦刃
运 7 ⿺辶云
扶 7 ⿰扌夫
抚 7 ⿰扌无
坛 7 ⿰土云
技 7 ⿰扌支
坏 7 ⿰土不
抠 7 ⿰扌区
扰 7 ⿰扌尤
扼 7 ⿰扌厄
拒 7 ⿰扌巨
找 7 ⿰扌戈
批 7 ⿰扌比
址 7 ⿰土止
扯 7 ⿰扌止
走 7 ⿱土龰
抄 7 ⿰扌少
贡 7 ⿱工贝
汞 7 ⿱工水
坝 7 ⿰土贝
攻 7 ⿰工攵
赤 7 ⿱土⿻小丿
折 7 ⿰扌斤
抓 7 ⿰扌爪
扳 7 ⿰扌反
抡 7 ⿰扌仑
扮 7 ⿰扌分
抢 7 ⿰扌仓
孝 7 ⿱耂子
坎 7 ⿰土欠
均 7 ⿰土匀
抑 7 ⿰扌卬
抛 7 ⿰扌𠠵
投 7 ⿰扌殳
坟 7 ⿰土文
坑 7 ⿰土亢
抗 7 ⿰扌亢
坊 7 ⿰土方
抖 7 ⿰扌斗
护 7 ⿰扌户
壳 7 ⿱士冗
志 7 ⿱士心
块 7 ⿰土夬
扭 7 ⿰扌丑
声 7 ⿱士𠃜
把 7 ⿰扌巴
